,k,rpca_time,tn,fp,fn,tp
0,100,101.25605940818787,8639852,148,0,0
1,100,101.79452991485596,8639767,233,0,0
2,100,102.3182647228241,8639861,139,0,0
3,100,102.05973172187805,8477718,62313,38412,61557
4,100,101.75898575782776,8431581,72263,37906,98250
5,100,102.72583961486816,8481863,53175,12189,92773
