,N,t,CD_mse,DS_mse,GPA_CD_mse,GPA_DS_mse,CD_time,DS_time,GPA_CD_time,GPA_DS_time
0,1000,0,0.017376058,0.004643271,0.017499449,0.0048053823,1.8438017296791078,1.845217766761779,0.0008193254470825197,0.0003833770751953124
1,1000,1,0.016946645,0.0046297726,0.017182436,0.004918176,1.8533262848854064,1.854558331966401,0.00040524721145629883,0.00036536931991577144
2,1000,2,0.018070806,0.0049815318,0.018071214,0.0050231186,1.8411674451828004,1.8424063801765442,0.000425100326538086,0.0003812694549560547
3,1000,3,0.019222008,0.0059995074,0.019262327,0.0060868068,1.8360446071624763,1.83727040052414,0.00041640758514404307,0.0003760719299316405
4,1000,4,0.018207379,0.005188857,0.018529708,0.005568942,1.8434814858436592,1.844721031188965,0.0004255366325378418,0.0003835940361022947
5,1000,5,0.017664349,0.004559533,0.017846443,0.0048285457,1.8222753357887265,1.8235122227668759,0.00042387485504150394,0.00037961721420288097
6,1000,6,0.018354181,0.006083597,0.018551601,0.006338919,1.8262140464782721,1.8274675202369686,0.00043526172637939456,0.0003944969177246092
7,1000,7,0.017984772,0.005082909,0.018137591,0.005290354,1.8604696297645564,1.8616692090034488,0.00039832830429077155,0.0003552794456481935
8,1000,8,0.01893363,0.0061294404,0.0190263,0.0062684426,1.8271206140518188,1.8283734726905823,0.0004247450828552247,0.0003808927536010742
9,1000,9,0.018887429,0.005954297,0.018867634,0.005978661,1.822927839756012,1.8242808318138113,0.00045044183731079117,0.0003991436958312987
10,1000,10,0.018630544,0.005351623,0.018680712,0.005452711,1.8237731075286872,1.824986660480499,0.00042040586471557605,0.00037812471389770514
11,1000,11,0.017087815,0.005042356,0.01714345,0.0051458124,1.8379129576683049,1.8391331267356874,0.0004167842864990234,0.0003722620010375976
12,1000,12,0.01845177,0.0052261334,0.018456055,0.0052671693,1.8392641162872314,1.8405007076263429,0.00042188644409179687,0.00037757396697998065
13,1000,13,0.019076811,0.0067087905,0.019115668,0.0067918184,1.835943999290466,1.837152009010315,0.00040300130844116204,0.0003627657890319824
14,1000,14,0.01706965,0.0045187282,0.017141702,0.004648711,1.8320742344856258,1.8333202433586115,0.0004362154006958007,0.0003923988342285156
15,1000,15,0.017647032,0.006085359,0.017792426,0.006286589,1.8302067923545828,1.8314146876335142,0.0004211378097534182,0.0003823518753051757
16,1000,16,0.01849345,0.0054515675,0.018513856,0.0055225454,1.8371129226684575,1.8383006453514101,0.00041623592376708983,0.0003715205192565917
17,1000,17,0.017144857,0.0058151744,0.017333912,0.006060933,1.8328450560569765,1.8341085171699536,0.00045680284500122066,0.0004099416732788086
18,1000,18,0.017184187,0.0047218124,0.0171385,0.0047135903,1.831365859508514,1.8325904250144958,0.00041982889175415036,0.0003796458244323732
19,1000,19,0.018843958,0.006198486,0.01902608,0.0064379037,1.816533424854279,1.8177491092681892,0.00043152332305908215,0.0003879094123840333
20,1000,20,0.017548475,0.0050393464,0.017567467,0.0051152725,1.8359232997894288,1.8371688795089718,0.00043206930160522483,0.00039307355880737317
21,1000,21,0.016962515,0.004347569,0.017063284,0.004480041,1.8262890625000006,1.8274794554710383,0.00041755914688110365,0.00037607192993164055
