,N,t,CD_mse,DS_mse,GPA_CD_mse,GPA_DS_mse,CD_time,DS_time,GPA_CD_time,GPA_DS_time
0,100,0,0.121260256,0.017993607,0.12079413,0.017994182,0.15223588466644286,0.15374409437179573,0.0012300896644592278,0.000537087917327881
1,100,1,0.117564835,0.016214708,0.11716155,0.016178481,0.15148126363754277,0.15260500907897956,0.0005647540092468262,0.0005325913429260255
2,100,2,0.12843183,0.017300133,0.12797251,0.017276479,0.1422798800468445,0.1433321928977966,0.0005598497390747069,0.0005373597145080567
3,100,3,0.11961645,0.016556166,0.11915956,0.016505124,0.15200517654418946,0.15313737869262697,0.0005519270896911622,0.0005234956741333008
4,100,4,0.11905141,0.017297337,0.11863166,0.01721559,0.15217702865600585,0.15326848983764646,0.0005625796318054203,0.0005382466316223147
5,100,5,0.12928037,0.018464094,0.12868501,0.018230867,0.1441332364082336,0.14513532638549803,0.0005249428749084473,0.0004982161521911622
6,100,6,0.11719501,0.016462006,0.116768435,0.016325856,0.1528105044364929,0.15389849424362176,0.0005613207817077635,0.0005326056480407714
7,100,7,0.12172871,0.016977532,0.12124909,0.01696715,0.152335615158081,0.1534482717514038,0.0005639672279357912,0.0005339431762695312
8,100,8,0.11411156,0.016391912,0.113680795,0.016309768,0.15198477745056158,0.1530871057510376,0.0006045269966125484,0.0005433058738708497
9,100,9,0.1121356,0.016841497,0.1117917,0.01686473,0.1527052450180054,0.15381103515625,0.000563192367553711,0.0005366325378417969
10,100,10,0.11682397,0.018851064,0.11624199,0.018522462,0.14655491352081298,0.14760001420974736,0.0005612039566040038,0.000535874366760254
11,100,11,0.115105785,0.016782444,0.11479217,0.016782336,0.14623610496521,0.14730975866317747,0.0005655431747436524,0.0005380368232727049
12,100,12,0.11294587,0.01721627,0.112449236,0.017054994,0.14596107006072995,0.14701417207717893,0.0005654239654541015,0.0005391526222229005
13,100,13,0.1160789,0.016254844,0.11569138,0.016317453,0.15376070261001584,0.15485703706741336,0.0005596709251403807,0.0005291557312011719
14,100,14,0.12503996,0.01755816,0.12465803,0.017491411,0.1521942019462586,0.1531586670875549,0.0005649852752685546,0.0005328774452209473
15,100,15,0.11681726,0.017850498,0.116128474,0.017381858,0.1522938418388366,0.15324106931686413,0.000555119514465332,0.0005302524566650389
16,100,16,0.11868026,0.017966636,0.11804364,0.017758293,0.14293514013290404,0.1440035486221313,0.0005629587173461915,0.0005297517776489257
17,100,17,0.105020486,0.014527966,0.104747206,0.014549544,0.1425175142288208,0.14359474658966073,0.0005638790130615237,0.0005390286445617674
18,100,18,0.11563043,0.016863128,0.11530875,0.016839674,0.14206867694854736,0.14316270828247074,0.0005992507934570314,0.0005448746681213381
19,100,19,0.11354662,0.018015655,0.112987265,0.01773062,0.1454015707969665,0.1464729189872742,0.0005617213249206548,0.0005286860466003415
20,100,20,0.11646738,0.016819991,0.11619703,0.01689562,0.14842846870422358,0.14950452566146852,0.0005647587776184082,0.0005396103858947754
21,100,21,0.11110276,0.015962157,0.11065275,0.015894398,0.14241188287734993,0.14347483396530158,0.0005657577514648438,0.0005393409729003908
22,100,22,0.11722624,0.0168511,0.116767935,0.016739484,0.1424861836433411,0.14353335618972776,0.0005681085586547848,0.0005402445793151855
23,100,23,0.13201329,0.018085342,0.13149014,0.01800142,0.15090730905532837,0.1518669080734253,0.0005417394638061522,0.0005119276046752929
24,100,24,0.11392279,0.015255559,0.11357117,0.015256658,0.1436642217636108,0.14478280782699582,0.0005654621124267583,0.0005413866043090818
25,100,25,0.12303193,0.018395234,0.122365065,0.018034847,0.14327030181884762,0.1443586564064025,0.0005697083473205567,0.0005366897583007812
26,100,26,0.12299144,0.01677051,0.12272352,0.016790958,0.1421893310546875,0.1431071472167969,0.0005684185028076173,0.000538830757141113
27,100,27,0.122663565,0.016892077,0.12213696,0.016833605,0.14224504709243774,0.14316326618194575,0.0005628609657287596,0.0005328559875488281
28,100,28,0.11528836,0.0160128,0.11481744,0.015973276,0.1532578659057617,0.15415197849273685,0.0005601811408996582,0.0005319786071777343
29,100,29,0.12154357,0.017933523,0.12121275,0.017993452,0.1426093435287475,0.14352329254150392,0.0005542850494384766,0.000525696277618408
30,100,30,0.112156175,0.015642444,0.11188101,0.015637903,0.15112462520599357,0.15215507268905637,0.0005644774436950684,0.0005374097824096677
31,100,31,0.122051015,0.01735858,0.12162733,0.017288573,0.14278489112854006,0.14380677700042732,0.0005463099479675292,0.0005219268798828125
32,100,32,0.114592016,0.016546361,0.114079155,0.016323075,0.14266921520233158,0.14366373777389532,0.0005907535552978515,0.0005727100372314453
33,100,33,0.12021232,0.01786694,0.11951986,0.017494617,0.1515820884704589,0.15269416332244873,0.0005685925483703613,0.000536603927612305
34,100,34,0.109537356,0.01661139,0.10909296,0.016526984,0.15088306188583378,0.15199718713760374,0.000564258098602295,0.0005417633056640624
35,100,35,0.11039491,0.015422092,0.11009403,0.015438712,0.141777184009552,0.1426943325996399,0.0005649542808532715,0.0005298805236816407
36,100,36,0.119705796,0.017840745,0.11923236,0.01771141,0.1530218219757079,0.15409485340118403,0.0005661702156066894,0.0005389475822448729
37,100,37,0.1176796,0.01747302,0.1172452,0.017459074,0.1433417963981628,0.14441094160079956,0.0005587029457092284,0.000532560348510742
38,100,38,0.11429078,0.016436884,0.113910615,0.016386772,0.14373852014541627,0.1448226141929626,0.0005772328376770022,0.0005520272254943847
39,100,39,0.11182313,0.01636494,0.11129502,0.016107634,0.15030411243438718,0.15123991966247557,0.0005551290512084963,0.0005323219299316407
40,100,40,0.12151078,0.017991234,0.120758384,0.01749527,0.14945770263671876,0.15058478593826286,0.0005456852912902834,0.0005120229721069334
41,100,41,0.12033533,0.017535705,0.11989822,0.017483708,0.14167400836944583,0.14258999824523927,0.0005503892898559571,0.000533561706542969
42,100,42,0.11616589,0.01669279,0.11570109,0.016482862,0.1422292041778564,0.1431334447860718,0.0005703520774841309,0.0005466747283935547
43,100,43,0.122379735,0.017368184,0.12170298,0.017001927,0.14278631687164306,0.14383886337280272,0.0005606174468994139,0.0005347275733947756
44,100,44,0.11982421,0.01732853,0.11922829,0.017001092,0.15163414478302006,0.15275451421737665,0.000562310218811035,0.0005564475059509277
